record_type,process_id,timestamp,alert_id,measurement_height_mm,measurement_width_mm,measurement_input_params_json,alert_severity,alert_deviation_type,alert_deviation_percentage,alert_expected_height_mm,alert_expected_width_mm,alert_measured_height_mm,alert_measured_width_mm,alert_recommended_actions,raw_payload_json,source
measurement,reviewer_demo_process,2026-06-16T12:00:10+00:00,,3.18,7.04,"{""wire_feed_speed_mpm_model_input"":10.5,""travel_speed_mps_model_input"":0.021,""arc_length_correction_mm_model_input"":1.5}",,,,,,,,,"{""timestamp"":""2026-06-16T12:00:10+00:00"",""height"":3.18,""width"":7.04,""speed"":0.021,""current"":232.4,""voltage"":26.4,""input_params"":{""wire_feed_speed_mpm_model_input"":10.5,""travel_speed_mps_model_input"":0.021,""arc_length_correction_mm_model_input"":1.5}}",process_measurements
measurement,reviewer_demo_process,2026-06-16T12:00:20+00:00,,3.21,7.02,"{""wire_feed_speed_mpm_model_input"":10.5,""travel_speed_mps_model_input"":0.021,""arc_length_correction_mm_model_input"":1.5}",,,,,,,,,"{""timestamp"":""2026-06-16T12:00:20+00:00"",""height"":3.21,""width"":7.02,""speed"":0.021,""current"":232.8,""voltage"":26.5,""input_params"":{""wire_feed_speed_mpm_model_input"":10.5,""travel_speed_mps_model_input"":0.021,""arc_length_correction_mm_model_input"":1.5}}",process_measurements
measurement,reviewer_demo_process,2026-06-16T12:00:30+00:00,,3.19,7.05,"{""wire_feed_speed_mpm_model_input"":10.5,""travel_speed_mps_model_input"":0.021,""arc_length_correction_mm_model_input"":1.5}",,,,,,,,,"{""timestamp"":""2026-06-16T12:00:30+00:00"",""height"":3.19,""width"":7.05,""speed"":0.021,""current"":233.1,""voltage"":26.4,""input_params"":{""wire_feed_speed_mpm_model_input"":10.5,""travel_speed_mps_model_input"":0.021,""arc_length_correction_mm_model_input"":1.5}}",process_measurements
measurement,reviewer_demo_process,2026-06-16T12:00:40+00:00,,3.15,7.1,"{""wire_feed_speed_mpm_model_input"":10.5,""travel_speed_mps_model_input"":0.021,""arc_length_correction_mm_model_input"":1.5}",,,,,,,,,"{""timestamp"":""2026-06-16T12:00:40+00:00"",""height"":3.15,""width"":7.1,""speed"":0.021,""current"":233.5,""voltage"":26.5,""input_params"":{""wire_feed_speed_mpm_model_input"":10.5,""travel_speed_mps_model_input"":0.021,""arc_length_correction_mm_model_input"":1.5}}",process_measurements
measurement,reviewer_demo_process,2026-06-16T12:00:50+00:00,,3.08,7.18,"{""wire_feed_speed_mpm_model_input"":10.5,""travel_speed_mps_model_input"":0.021,""arc_length_correction_mm_model_input"":1.5}",,,,,,,,,"{""timestamp"":""2026-06-16T12:00:50+00:00"",""height"":3.08,""width"":7.18,""speed"":0.021,""current"":234.0,""voltage"":26.6,""input_params"":{""wire_feed_speed_mpm_model_input"":10.5,""travel_speed_mps_model_input"":0.021,""arc_length_correction_mm_model_input"":1.5}}",process_measurements
measurement,reviewer_demo_process,2026-06-16T12:01:00+00:00,,3.01,7.32,"{""wire_feed_speed_mpm_model_input"":10.5,""travel_speed_mps_model_input"":0.021,""arc_length_correction_mm_model_input"":1.5}",,,,,,,,,"{""timestamp"":""2026-06-16T12:01:00+00:00"",""height"":3.01,""width"":7.32,""speed"":0.021,""current"":234.5,""voltage"":26.7,""input_params"":{""wire_feed_speed_mpm_model_input"":10.5,""travel_speed_mps_model_input"":0.021,""arc_length_correction_mm_model_input"":1.5}}",process_measurements
measurement,reviewer_demo_process,2026-06-16T12:01:05+00:00,,2.95,7.48,"{""wire_feed_speed_mpm_model_input"":10.5,""travel_speed_mps_model_input"":0.021,""arc_length_correction_mm_model_input"":1.5}",,,,,,,,,"{""timestamp"":""2026-06-16T12:01:05+00:00"",""height"":2.95,""width"":7.48,""speed"":0.021,""current"":234.9,""voltage"":26.7,""input_params"":{""wire_feed_speed_mpm_model_input"":10.5,""travel_speed_mps_model_input"":0.021,""arc_length_correction_mm_model_input"":1.5}}",process_measurements
warning,reviewer_demo_process,2026-06-16T12:01:07+00:00,urn:ngsi-ld:Alert:reviewer_demo_process:20260616T120107,,,,Critical,geometry,7.8125,3.2,7,2.95,7.48,Manually adjust process parameters|Request new AI recommendation|Add datapoint and fine-tune model|Discard model and start new DOE,"{""id"":""urn:ngsi-ld:Alert:reviewer_demo_process:20260616T120107"",""timestamp"":""2026-06-16T12:01:07+00:00"",""deviation_type"":""geometry"",""deviation_percentage"":7.8125,""expected_value"":{""height"":3.2,""width"":7.0},""measured_value"":{""height"":2.95,""width"":7.48},""recommended_actions"":[{""id"":""manual_adjust"",""label"":""Manually adjust process parameters""},{""id"":""ai_retry"",""label"":""Request new AI recommendation""},{""id"":""fine_tune"",""label"":""Add datapoint and fine-tune model""},{""id"":""reset_model"",""label"":""Discard model and start new DOE""}]}",process_alerts
measurement,reviewer_demo_process,2026-06-16T12:01:15+00:00,,3.0,7.35,"{""wire_feed_speed_mpm_model_input"":10.8,""travel_speed_mps_model_input"":0.019,""arc_length_correction_mm_model_input"":1.1}",,,,,,,,,"{""timestamp"":""2026-06-16T12:01:15+00:00"",""height"":3.0,""width"":7.35,""speed"":0.019,""current"":233.8,""voltage"":26.3,""input_params"":{""wire_feed_speed_mpm_model_input"":10.8,""travel_speed_mps_model_input"":0.019,""arc_length_correction_mm_model_input"":1.1}}",process_measurements
measurement,reviewer_demo_process,2026-06-16T12:01:25+00:00,,3.07,7.22,"{""wire_feed_speed_mpm_model_input"":10.8,""travel_speed_mps_model_input"":0.019,""arc_length_correction_mm_model_input"":1.1}",,,,,,,,,"{""timestamp"":""2026-06-16T12:01:25+00:00"",""height"":3.07,""width"":7.22,""speed"":0.019,""current"":233.1,""voltage"":26.2,""input_params"":{""wire_feed_speed_mpm_model_input"":10.8,""travel_speed_mps_model_input"":0.019,""arc_length_correction_mm_model_input"":1.1}}",process_measurements
measurement,reviewer_demo_process,2026-06-16T12:01:35+00:00,,3.14,7.12,"{""wire_feed_speed_mpm_model_input"":10.8,""travel_speed_mps_model_input"":0.019,""arc_length_correction_mm_model_input"":1.1}",,,,,,,,,"{""timestamp"":""2026-06-16T12:01:35+00:00"",""height"":3.14,""width"":7.12,""speed"":0.019,""current"":232.7,""voltage"":26.1,""input_params"":{""wire_feed_speed_mpm_model_input"":10.8,""travel_speed_mps_model_input"":0.019,""arc_length_correction_mm_model_input"":1.1}}",process_measurements
measurement,reviewer_demo_process,2026-06-16T12:01:45+00:00,,3.19,7.05,"{""wire_feed_speed_mpm_model_input"":10.8,""travel_speed_mps_model_input"":0.019,""arc_length_correction_mm_model_input"":1.1}",,,,,,,,,"{""timestamp"":""2026-06-16T12:01:45+00:00"",""height"":3.19,""width"":7.05,""speed"":0.019,""current"":232.5,""voltage"":26.1,""input_params"":{""wire_feed_speed_mpm_model_input"":10.8,""travel_speed_mps_model_input"":0.019,""arc_length_correction_mm_model_input"":1.1}}",process_measurements
measurement,reviewer_demo_process,2026-06-16T12:01:55+00:00,,3.2,7.02,"{""wire_feed_speed_mpm_model_input"":10.8,""travel_speed_mps_model_input"":0.019,""arc_length_correction_mm_model_input"":1.1}",,,,,,,,,"{""timestamp"":""2026-06-16T12:01:55+00:00"",""height"":3.2,""width"":7.02,""speed"":0.019,""current"":232.3,""voltage"":26.0,""input_params"":{""wire_feed_speed_mpm_model_input"":10.8,""travel_speed_mps_model_input"":0.019,""arc_length_correction_mm_model_input"":1.1}}",process_measurements
